ipv,ips,iaa,ieg,nÂº_av,ida,defasagem
7.278,5.6,8.3,4.1,4.0,4.0,-1
6.778,6.3,8.8,5.2,4.0,6.8,0
7.556,5.6,0.0,7.9,4.0,5.6,0
5.278,5.6,8.8,4.5,4.0,5.0,0
7.389,5.6,7.9,8.6,4.0,5.2,0
7.222,7.5,7.9,4.5,4.0,3.3,-1
7.667,7.5,0.0,8.4,4.0,7.6,-1
6.278,6.3,7.1,4.6,4.0,1.6,-1
9.5,7.5,8.8,9.5,4.0,6.7,-1
7.056,5.0,8.3,5.2,4.0,4.1,-1
6.389,5.0,9.2,4.2,4.0,3.0,-1
6.389,6.9,0.0,4.0,4.0,1.5,0
8.056,7.5,7.9,7.4,4.0,4.7,-1
7.75,7.5,7.9,8.3,4.0,4.0,-1
7.292,7.5,8.8,10.0,4.0,7.3,-1
6.333,5.0,7.9,8.3,4.0,3.5,-1
8.292,7.5,8.8,10.0,4.0,7.8,-1
6.875,6.3,6.3,8.7,4.0,9.0,-1
7.0,7.5,7.9,9.5,4.0,8.0,-1
7.167,6.3,7.1,10.0,4.0,7.8,-1
7.25,7.5,9.6,9.2,4.0,3.8,-1
8.833,8.1,8.3,7.4,4.0,6.7,-1
8.556,8.1,8.3,8.2,4.0,6.7,-1
9.111,6.9,9.2,7.9,4.0,8.6,-1
9.667,8.8,8.3,8.3,4.0,6.9,-1
10.0,10.0,9.6,8.8,4.0,8.0,-1
9.111,8.1,0.0,7.6,4.0,8.0,-1
6.333,7.5,7.9,6.1,4.0,5.0,-1
7.611,8.8,0.0,4.0,4.0,3.7,-1
7.333,7.5,8.8,6.4,4.0,7.5,0
10.0,9.4,10.0,9.5,4.0,8.0,-1
7.944,8.8,8.8,5.2,4.0,6.1,0
6.0,7.5,0.0,4.6,4.0,4.8,-1
7.278,8.1,9.6,4.8,4.0,3.8,-1
10.0,9.4,10.0,9.6,4.0,8.5,-1
8.944,6.9,9.2,9.0,4.0,6.8,-1
5.222,5.0,0.0,5.4,4.0,5.9,-1
9.833,7.5,9.2,8.9,4.0,8.6,-1
6.111,6.9,0.0,4.8,4.0,6.9,0
7.75,7.5,7.9,7.8,3.0,6.8,-1
4.375,5.0,9.2,6.1,3.0,5.6,-2
6.083,5.6,8.3,7.9,3.0,4.8,0
5.958,5.6,6.3,6.5,3.0,4.3,-1
7.292,7.5,5.0,5.9,3.0,3.0,-2
7.417,5.6,7.9,8.9,3.0,6.8,0
7.083,6.3,8.8,8.4,3.0,2.1,-2
7.042,7.5,7.9,6.3,3.0,2.1,-2
8.5,7.5,6.7,8.4,3.0,8.1,0
7.042,7.5,7.5,7.4,3.0,3.9,-2
7.542,7.5,7.5,8.4,3.0,7.8,-3
6.5,7.5,8.8,7.6,3.0,5.0,-2
7.5,7.5,9.6,8.9,3.0,6.2,2
6.458,7.5,9.2,7.0,3.0,7.0,-2
6.125,7.5,7.9,6.9,3.0,4.8,-1
6.5,5.6,7.1,7.6,3.0,7.5,-1
8.25,7.5,10.0,10.0,3.0,7.0,0
7.875,5.6,7.1,8.1,3.0,8.4,-1
8.125,6.3,9.6,9.2,3.0,7.2,0
7.917,7.5,9.2,9.3,3.0,7.2,-2
6.167,7.5,6.7,6.0,3.0,4.9,-3
7.875,7.5,9.2,7.4,3.0,5.8,0
7.25,7.5,8.8,9.4,3.0,9.3,-2
9.417,8.8,8.3,9.1,3.0,8.7,-1
8.25,8.1,7.1,8.1,3.0,7.5,-1
7.875,7.5,8.3,7.7,3.0,9.3,-2
5.917,7.5,7.5,5.6,3.0,4.5,-2
6.889,7.5,5.8,3.0,4.0,3.6,-1
7.944,7.5,8.3,6.0,4.0,4.0,-1
6.167,7.5,8.3,6.1,4.0,2.5,-1
6.111,5.0,8.8,6.6,4.0,2.9,-1
5.833,7.5,7.9,2.0,4.0,1.2,-2
8.667,7.5,8.3,7.5,4.0,7.8,-2
7.278,7.5,7.1,3.0,4.0,3.3,-2
5.833,7.5,9.6,3.3,4.0,2.0,-1
4.625,6.3,5.4,3.8,4.0,0.0,-1
9.292,8.1,10.0,9.1,4.0,8.7,0
4.625,5.0,7.1,2.7,4.0,0.7,-1
8.0,5.6,8.3,6.6,4.0,7.2,-2
7.292,5.6,5.4,6.3,4.0,8.9,-1
7.625,5.0,9.2,8.3,4.0,7.1,-1
7.458,5.0,9.2,9.2,4.0,6.0,1
6.417,7.5,8.8,6.8,4.0,5.5,-2
5.958,7.5,7.9,6.8,4.0,6.8,-2
6.75,5.0,7.1,8.8,4.0,5.8,-2
5.833,5.0,6.7,7.3,4.0,4.3,0
8.458,5.6,7.5,9.6,4.0,6.7,-1
8.5,7.5,8.3,9.6,4.0,8.8,0
9.208,5.6,7.1,9.2,4.0,6.5,-2
8.0,7.5,9.6,7.8,4.0,5.9,-1
9.75,9.4,10.0,9.7,4.0,8.5,2
7.125,5.6,9.2,5.7,4.0,6.6,-1
6.667,5.0,9.2,7.1,4.0,7.4,-1
9.083,8.1,8.3,9.7,4.0,8.5,0
9.583,8.1,8.3,9.6,4.0,7.7,0
6.292,7.5,8.3,6.6,4.0,4.8,-2
8.5,6.9,9.2,7.8,4.0,6.7,-1
6.292,5.0,7.5,8.8,4.0,6.9,0
9.667,9.4,8.8,10.0,4.0,8.5,0
5.833,7.5,8.8,6.3,4.0,5.0,-1
7.25,5.0,8.8,7.8,4.0,7.6,1
6.833,7.5,7.9,8.3,4.0,7.6,-1
6.0,6.9,6.7,7.7,4.0,5.7,0
7.708,7.5,7.9,8.7,4.0,7.3,1
6.708,7.5,7.9,8.7,4.0,3.7,-4
7.417,5.6,7.9,8.2,4.0,6.7,-3
8.375,9.4,9.2,8.0,4.0,7.4,-1
6.5,7.5,7.5,6.4,4.0,4.6,-1
6.125,5.0,4.6,7.7,4.0,5.0,-3
8.667,8.8,8.8,10.0,4.0,8.4,-2
8.0,5.6,9.2,9.7,4.0,6.7,0
8.667,8.1,7.5,9.4,4.0,8.0,1
8.833,6.3,7.9,7.8,4.0,8.5,-1
3.792,5.0,0.0,0.0,4.0,3.7,-1
5.0,7.5,7.9,6.3,4.0,5.3,-2
5.583,6.3,8.3,6.8,4.0,3.8,-2
7.792,6.3,5.8,8.1,4.0,5.9,-2
7.417,6.9,7.9,6.3,4.0,6.1,-1
6.958,6.3,0.0,5.3,4.0,3.9,0
7.875,5.6,8.3,8.2,4.0,5.4,0
7.667,7.5,8.3,5.9,4.0,6.2,-1
7.625,6.3,7.1,8.4,4.0,7.2,-2
4.958,7.5,7.9,3.4,4.0,1.8,0
7.292,5.6,7.9,8.6,4.0,6.5,-2
7.167,5.0,7.9,7.8,4.0,6.7,0
7.75,7.5,8.8,8.5,4.0,7.1,-1
7.417,7.5,7.1,5.8,4.0,4.4,-1
8.125,7.5,7.5,8.7,4.0,7.9,0
6.167,7.5,0.0,6.2,4.0,5.6,-1
7.792,7.5,6.7,6.4,4.0,6.7,-1
6.5,5.0,8.3,4.7,4.0,4.1,-2
7.75,5.6,8.8,9.0,4.0,5.6,-1
8.458,5.6,10.0,8.8,4.0,7.7,0
7.625,7.5,7.9,7.1,4.0,5.6,-1
7.375,7.5,8.8,6.8,4.0,4.7,-1
8.583,5.6,8.3,7.8,4.0,8.6,-1
6.667,7.5,10.0,6.3,4.0,4.6,-1
7.792,5.0,7.5,8.9,4.0,7.3,-3
6.375,5.6,9.6,8.0,4.0,5.6,-1
3.917,5.0,7.1,3.5,4.0,1.4,-3
7.667,6.9,7.9,7.6,4.0,5.7,0
5.917,5.6,9.2,8.2,4.0,5.7,0
7.583,5.6,6.7,8.6,4.0,6.3,0
9.5,5.6,8.3,9.9,4.0,7.9,1
8.292,5.0,7.5,9.3,4.0,7.9,0
7.25,8.1,0.0,6.3,4.0,5.2,-2
8.208,7.5,8.3,9.2,4.0,7.9,-1
7.25,7.5,8.3,7.7,4.0,6.1,0
7.708,10.0,9.2,7.9,4.0,5.3,0
6.125,7.5,9.2,6.5,4.0,5.0,-1
7.333,6.9,9.6,6.3,4.0,6.9,-2
7.958,6.9,8.8,7.5,4.0,8.3,-2
6.292,7.5,8.3,7.0,4.0,6.5,-2
7.708,5.0,7.9,8.2,4.0,6.6,0
6.833,6.3,8.3,6.1,4.0,4.0,-1
6.833,7.5,10.0,8.3,4.0,5.2,-2
7.792,9.4,10.0,8.3,4.0,4.4,-1
8.292,6.3,7.5,10.0,4.0,7.7,1
8.125,5.6,7.9,9.8,4.0,6.6,-3
6.458,5.6,8.3,8.1,4.0,4.7,-1
8.25,5.6,7.5,7.2,4.0,5.3,-1
8.083,5.6,7.9,9.1,4.0,6.9,2
6.542,7.5,6.7,8.5,4.0,5.5,0
6.5,5.6,8.8,7.9,4.0,6.7,-1
7.208,5.6,8.3,7.3,4.0,6.5,-2
7.5,5.6,7.1,9.8,4.0,7.6,0
7.542,6.3,9.2,9.0,4.0,8.1,0
7.833,5.6,9.2,9.7,4.0,7.9,-2
7.083,6.3,7.9,8.3,4.0,5.9,-1
4.792,6.3,7.5,5.1,4.0,3.2,-1
5.792,5.6,8.3,9.2,4.0,4.9,0
6.875,7.5,7.5,6.8,4.0,5.5,-2
8.917,9.4,9.2,8.9,4.0,7.3,0
9.25,6.9,8.3,9.2,4.0,7.9,-3
6.042,7.5,7.9,6.2,4.0,4.4,-1
5.833,5.6,8.3,9.2,4.0,5.9,-1
9.083,5.6,9.6,9.1,4.0,6.9,0
6.958,4.4,7.9,8.8,4.0,6.8,0
8.458,4.4,0.0,8.8,4.0,6.3,0
8.042,7.5,7.5,9.2,4.0,6.1,0
8.625,6.3,9.2,8.3,4.0,8.1,0
8.458,8.8,9.2,9.5,4.0,6.8,0
6.958,7.5,7.5,8.0,4.0,4.1,-3
7.25,7.5,8.3,8.8,4.0,3.8,0
8.0,7.5,8.8,7.7,4.0,7.2,-3
6.875,7.5,7.9,7.7,4.0,4.5,-2
7.5,7.5,8.3,8.5,4.0,6.6,0
7.917,7.5,8.8,8.9,4.0,5.8,0
7.583,7.5,0.0,6.1,4.0,2.7,-1
7.333,5.0,10.0,9.7,4.0,7.2,-1
7.25,8.8,6.7,6.9,4.0,6.3,0
8.5,8.8,10.0,9.4,4.0,7.2,0
4.708,7.5,8.8,3.6,4.0,2.7,-2
8.5,5.6,9.2,8.9,4.0,6.7,0
3.75,5.0,0.0,6.2,4.0,3.2,-1
8.25,5.0,8.8,9.2,4.0,6.3,0
8.625,7.5,9.2,9.1,4.0,5.1,0
8.292,4.4,8.8,9.7,4.0,7.3,0
5.958,5.0,0.0,6.2,4.0,4.6,0
6.458,7.5,8.3,7.1,4.0,7.5,0
4.917,4.4,7.9,5.6,4.0,5.5,-2
7.542,7.5,7.9,7.3,4.0,6.5,-2
6.917,4.4,0.0,5.2,4.0,5.4,-1
6.875,7.5,8.8,4.3,4.0,2.8,-1
5.708,4.4,7.9,6.7,4.0,7.4,0
4.833,7.5,9.6,3.8,4.0,4.1,-1
5.167,7.5,8.3,8.8,4.0,5.0,0
5.708,7.5,0.0,4.8,4.0,5.8,-3
6.417,7.5,7.5,7.1,4.0,6.1,-1
3.75,5.6,0.0,4.8,4.0,6.0,-1
4.417,7.5,0.0,5.1,4.0,3.4,-1
8.458,7.5,9.2,8.8,4.0,7.6,0
6.958,7.5,9.6,8.4,4.0,6.2,-1
6.833,7.5,9.6,8.7,4.0,3.5,0
5.125,7.5,0.0,6.1,4.0,4.3,-2
6.542,7.5,6.7,5.8,4.0,7.8,0
5.583,7.5,7.9,8.5,4.0,7.0,0
7.292,7.5,7.9,8.5,4.0,7.1,-2
6.125,7.5,6.3,7.3,4.0,4.0,-1
6.375,7.5,8.8,6.9,4.0,3.5,-3
7.833,7.5,0.0,8.1,4.0,6.5,0
6.0,7.5,9.6,8.5,4.0,5.2,-1
4.917,7.5,7.1,4.6,4.0,6.2,-2
5.583,7.5,0.0,4.6,4.0,3.1,0
4.875,7.5,9.6,4.3,4.0,2.6,0
5.708,7.5,8.3,5.3,4.0,5.0,-1
6.208,7.5,7.5,6.1,4.0,6.8,-1
5.833,7.5,9.2,6.4,4.0,3.3,0
6.417,7.5,7.5,6.7,4.0,4.8,-2
8.5,7.5,10.0,9.4,4.0,6.9,0
6.75,7.5,7.9,5.1,4.0,5.7,-1
5.333,7.5,8.8,7.4,4.0,3.8,-1
4.542,7.5,0.0,4.9,4.0,0.0,0
5.5,7.5,7.9,7.4,4.0,3.8,-1
5.583,5.6,10.0,7.6,4.0,4.3,0
6.417,7.5,8.3,7.3,4.0,6.3,-1
7.208,7.5,9.6,7.5,4.0,3.7,0
8.417,7.5,10.0,9.0,4.0,7.8,-1
7.208,5.0,8.8,6.4,4.0,5.1,-1
5.958,7.5,0.0,3.7,4.0,3.7,-2
7.042,5.0,7.1,8.1,4.0,4.7,0
9.125,7.5,10.0,10.0,4.0,7.7,-1
8.708,5.6,9.6,9.7,4.0,8.2,0
7.875,5.0,7.1,8.7,4.0,6.0,-2
9.208,6.3,7.5,9.4,4.0,7.8,0
9.25,7.5,10.0,9.9,4.0,8.4,-1
9.167,7.5,8.3,9.4,4.0,7.6,0
7.875,7.5,8.3,8.2,4.0,5.8,0
7.292,7.5,9.2,7.6,4.0,5.2,0
4.292,5.0,6.7,7.4,4.0,2.9,-1
7.625,7.5,8.3,8.6,4.0,6.6,0
6.625,5.6,10.0,8.1,4.0,6.3,-2
3.875,7.5,9.2,2.8,4.0,0.9,-1
3.75,5.0,9.2,3.6,4.0,1.8,-2
6.917,5.6,10.0,7.4,4.0,5.3,-1
5.542,5.0,7.5,3.8,4.0,1.3,-1
6.708,5.0,8.8,8.5,4.0,5.2,0
6.708,5.6,0.0,6.4,4.0,3.6,-1
6.125,5.6,10.0,7.3,4.0,4.8,0
4.625,7.5,8.8,2.9,4.0,0.9,-3
6.458,7.5,10.0,8.2,4.0,5.0,0
7.042,5.6,8.8,7.2,4.0,5.8,-1
5.625,5.6,0.0,5.8,4.0,3.4,-2
4.417,7.5,5.8,5.6,4.0,3.7,-2
6.625,5.6,10.0,9.2,4.0,5.8,-2
7.917,7.5,8.3,7.7,4.0,6.9,0
6.583,5.6,7.5,5.8,4.0,6.0,-3
6.292,5.0,10.0,7.4,4.0,3.3,-2
7.208,6.3,9.2,6.7,4.0,5.7,-1
7.25,6.3,9.2,8.6,4.0,8.9,0
8.125,6.9,8.3,8.4,4.0,7.9,0
6.958,5.6,9.2,8.5,4.0,7.1,-2
6.417,7.5,9.2,5.7,4.0,5.1,-1
5.833,7.5,9.2,5.3,4.0,3.0,-1
7.0,7.5,7.9,8.3,4.0,8.1,1
6.667,7.5,9.6,6.9,4.0,4.6,-2
5.125,5.6,7.1,5.7,4.0,4.3,-1
7.208,7.5,7.1,8.8,4.0,7.4,-1
7.417,5.6,8.8,9.2,4.0,6.0,0
8.208,6.3,9.2,9.9,4.0,9.1,0
7.333,7.5,7.5,9.2,4.0,7.1,0
5.625,7.5,6.7,6.9,4.0,5.9,0
5.625,7.5,8.8,6.8,4.0,4.0,0
6.625,7.5,9.6,8.8,4.0,5.6,-1
5.958,5.6,6.7,5.1,4.0,3.8,0
5.75,7.5,9.2,4.1,4.0,2.8,-3
5.625,6.3,7.1,5.8,4.0,3.0,-2
4.292,5.0,7.9,3.4,4.0,1.1,-4
6.833,6.3,0.0,5.6,4.0,0.0,-3
7.25,6.3,0.0,7.8,4.0,6.8,-1
6.042,6.3,10.0,3.9,4.0,1.7,-4
7.792,6.9,8.3,8.2,4.0,8.0,0
6.292,7.5,7.9,3.7,4.0,1.8,-3
3.333,7.5,8.8,2.9,4.0,2.3,0
5.917,7.5,9.6,5.8,4.0,0.0,-5
7.375,7.5,7.9,8.0,4.0,6.9,-1
3.833,7.5,8.8,3.6,4.0,2.8,-2
7.417,6.3,7.1,7.9,4.0,6.6,0
5.417,5.6,9.2,6.3,4.0,5.2,0
6.708,5.0,7.1,8.2,4.0,6.8,0
5.875,6.3,5.4,6.9,4.0,3.1,-1
6.042,5.6,8.8,5.8,4.0,6.3,0
6.208,6.9,9.2,7.7,4.0,4.8,-3
5.375,7.5,7.5,7.2,4.0,3.9,-1
5.542,7.5,8.8,7.7,4.0,4.3,-2
5.208,7.5,7.9,6.6,4.0,4.8,-1
5.958,7.5,8.3,6.8,4.0,5.2,-1
4.708,7.5,5.4,4.5,4.0,2.5,-1
6.167,6.9,7.9,7.4,4.0,5.0,0
5.083,7.5,9.2,5.2,4.0,6.5,-1
6.0,7.5,7.9,7.5,4.0,4.5,-2
6.222,5.0,7.9,5.6,3.0,5.2,-3
6.167,7.5,9.6,8.1,3.0,5.2,0
5.889,5.0,7.5,7.0,3.0,4.1,-1
6.0,5.0,5.4,5.4,3.0,5.3,0
5.056,7.5,6.7,5.1,3.0,3.0,0
8.389,6.9,10.0,10.0,3.0,6.1,-1
5.944,7.5,8.8,5.6,3.0,6.8,0
6.111,6.9,8.3,6.9,3.0,5.8,-1
7.5,7.5,9.2,7.7,3.0,5.2,0
8.667,6.9,8.8,10.0,3.0,6.4,-1
8.278,5.6,9.2,9.1,3.0,5.2,0
6.778,5.0,7.1,8.1,3.0,4.7,0
6.611,7.5,9.2,7.3,3.0,3.4,0
8.611,6.9,10.0,9.3,3.0,6.8,0
8.444,7.5,9.5,6.8,3.0,6.0,0
8.944,5.0,10.0,9.7,3.0,9.0,-1
7.333,7.5,8.5,8.8,3.0,2.8,0
7.5,7.5,10.0,7.0,3.0,5.3,-1
5.778,4.4,7.4,6.9,3.0,5.0,0
7.056,7.5,9.5,8.8,3.0,2.5,-2
6.944,7.5,9.0,8.7,3.0,3.7,-1
8.5,8.1,9.5,9.0,3.0,7.5,-1
6.722,3.8,8.0,5.8,3.0,2.9,-2
8.722,4.4,6.9,9.2,3.0,8.0,0
6.833,7.5,9.5,9.4,3.0,7.4,0
7.889,4.4,9.5,8.5,3.0,5.1,-1
7.611,7.5,10.0,9.3,3.0,5.8,0
7.611,7.5,8.5,7.3,3.0,5.8,-1
8.889,7.5,6.9,9.9,3.0,8.1,0
7.667,7.5,9.0,8.2,3.0,6.5,0
7.5,7.5,8.0,7.7,3.0,5.8,-1
7.5,7.5,9.0,6.7,3.0,6.6,-2
7.167,7.5,9.5,7.4,3.0,5.9,-2
7.5,7.5,8.5,8.3,3.0,4.5,0
6.667,5.6,9.5,5.4,3.0,3.6,-1
7.889,7.5,10.0,9.1,3.0,7.0,0
8.0,5.6,9.0,10.0,3.0,8.5,-1
5.833,7.5,9.0,8.7,3.0,1.8,-1
3.944,7.5,9.5,7.7,3.0,3.7,-1
8.611,7.5,10.0,8.8,3.0,6.5,0
8.111,7.5,9.0,7.2,3.0,4.0,-2
8.389,5.6,9.0,8.1,3.0,7.0,0
8.444,7.5,7.0,10.0,3.0,7.5,0
7.333,7.5,8.5,4.3,3.0,4.5,-1
6.056,7.5,5.8,5.0,3.0,4.5,-1
8.278,5.0,10.0,8.4,3.0,4.6,-1
7.778,7.5,8.0,9.6,3.0,8.5,-1
7.556,7.5,7.5,6.5,3.0,0.0,-1
7.5,7.5,9.0,7.0,3.0,4.6,-1
7.5,7.5,9.5,8.5,3.0,5.2,-1
6.778,6.3,7.9,9.2,3.0,5.0,-1
7.5,7.5,8.5,7.9,3.0,7.9,-1
7.056,6.9,10.0,10.0,3.0,2.0,-1
8.167,7.5,9.5,10.0,3.0,8.8,0
7.833,5.0,8.0,10.0,3.0,7.8,0
6.833,7.5,9.5,9.4,3.0,5.5,-1
7.5,6.3,8.5,7.4,3.0,6.7,-1
7.5,5.0,8.0,7.9,3.0,7.3,-1
6.889,7.5,9.0,6.9,3.0,4.8,0
7.611,5.0,8.5,8.2,3.0,7.2,-1
7.667,6.9,9.5,8.0,3.0,8.4,0
7.389,6.9,8.5,5.5,3.0,7.8,0
6.944,5.0,6.4,9.5,3.0,7.3,0
7.944,7.5,9.0,9.8,3.0,6.9,-1
7.667,7.5,9.0,9.5,3.0,5.4,0
7.5,7.5,9.0,9.0,3.0,4.3,-1
6.833,5.6,9.0,7.7,3.0,6.2,-1
7.889,5.6,9.0,6.8,3.0,8.1,-1
6.778,7.5,8.5,8.1,3.0,5.0,-1
4.833,5.0,7.9,4.4,3.0,2.5,-1
6.944,6.9,9.0,8.3,3.0,3.3,-1
7.333,6.3,9.0,7.7,3.0,5.4,-2
7.778,7.5,9.0,9.6,3.0,8.1,0
8.0,6.3,9.0,8.4,3.0,8.1,-1
6.5,5.0,7.4,7.5,3.0,4.9,-1
7.222,5.6,10.0,5.9,3.0,4.0,-1
6.833,7.5,7.0,8.2,3.0,3.7,-1
7.722,5.6,7.9,8.5,3.0,4.5,-2
7.556,7.5,8.0,8.9,3.0,3.5,0
7.722,6.3,7.4,8.8,3.0,4.7,-1
8.056,7.5,10.0,8.1,3.0,5.1,-1
6.778,5.6,9.5,8.8,3.0,4.8,-2
6.778,5.0,10.0,5.4,3.0,4.6,-4
8.444,7.5,9.5,8.6,3.0,5.9,0
8.333,7.5,9.0,8.9,3.0,4.9,0
6.556,6.3,9.0,8.0,3.0,5.6,-1
7.167,6.9,9.0,5.7,3.0,2.8,-2
7.5,7.5,9.0,9.3,3.0,5.5,0
7.5,5.6,6.8,9.3,3.0,4.3,-1
7.444,5.0,9.0,8.5,3.0,1.7,-2
6.722,7.5,6.9,9.6,3.0,4.3,-1
7.222,5.0,9.0,3.7,3.0,3.0,-1
7.5,7.5,9.5,9.3,3.0,6.3,-1
6.944,7.5,9.0,7.3,3.0,5.3,-1
6.0,5.0,9.5,6.2,3.0,3.3,-1
7.333,7.5,9.5,9.5,3.0,6.6,-1
7.056,7.5,8.5,9.3,3.0,6.0,-1
7.333,7.5,8.0,9.7,3.0,3.3,-1
7.5,7.5,7.9,9.7,3.0,7.8,0
7.444,6.3,7.4,6.5,3.0,2.0,-2
7.833,7.5,6.4,8.6,3.0,7.1,-1
7.778,7.5,8.5,9.0,3.0,7.3,-1
7.056,5.6,6.4,8.7,3.0,4.7,-1
7.667,7.5,8.0,9.3,3.0,5.9,-1
8.056,7.5,8.0,8.3,3.0,6.2,0
8.222,8.8,9.5,9.3,3.0,7.2,-1
9.556,7.5,10.0,10.0,3.0,8.0,-1
8.222,7.5,8.0,9.4,3.0,7.5,0
8.389,5.6,7.5,9.2,3.0,6.9,-1
8.0,5.6,9.5,9.0,3.0,4.5,0
9.111,7.5,8.5,9.3,3.0,8.8,0
7.5,7.5,8.5,10.0,3.0,2.5,-1
7.667,7.5,8.4,9.6,3.0,2.3,-1
8.222,7.5,9.0,10.0,3.0,7.5,-1
7.5,7.5,9.0,10.0,3.0,9.0,-1
7.111,7.5,9.0,6.5,3.0,4.6,-2
6.778,7.5,8.0,8.5,3.0,2.5,-1
7.111,7.5,6.8,8.7,3.0,9.5,-1
6.611,7.5,10.0,5.3,3.0,2.7,-1
6.611,7.5,9.5,8.6,3.0,8.5,-1
6.778,7.5,9.0,8.1,3.0,4.5,0
6.611,5.0,10.0,6.8,3.0,5.1,-2
5.778,5.0,8.5,7.3,3.0,2.6,-1
6.778,7.5,9.0,8.1,3.0,5.7,0
6.444,7.5,7.9,6.2,3.0,4.7,0
6.611,7.5,9.5,8.1,3.0,2.0,0
6.611,7.5,8.5,8.3,3.0,5.8,-1
6.889,7.5,8.0,8.7,3.0,7.3,0
6.5,7.5,9.0,4.9,3.0,2.3,-1
5.833,6.9,9.5,9.0,3.0,5.5,0
8.333,7.5,9.0,7.9,3.0,8.0,0
8.222,7.5,10.0,8.2,3.0,7.5,0
8.5,7.5,9.0,9.1,3.0,5.6,-1
7.778,5.0,9.0,7.2,3.0,3.1,0
7.5,7.5,9.0,9.4,3.0,3.8,-1
7.889,5.0,9.5,8.9,3.0,6.9,-1
5.556,7.5,0.0,7.0,3.0,3.5,0
8.111,7.5,9.0,9.7,3.0,5.5,0
8.111,7.5,0.0,6.0,3.0,7.0,-1
8.111,7.5,10.0,9.1,3.0,7.5,-1
6.889,6.3,9.0,6.0,3.0,6.1,-1
7.167,7.5,9.0,5.6,3.0,4.8,-1
7.778,7.5,9.0,8.7,3.0,8.8,-1
5.444,5.0,9.5,8.6,3.0,2.3,-2
7.278,7.5,7.0,7.9,3.0,6.3,-1
8.389,6.3,6.4,8.2,3.0,7.3,-1
7.667,7.5,8.0,8.8,3.0,8.5,-1
5.833,7.5,8.0,7.7,3.0,5.6,-1
7.222,8.1,7.0,9.1,3.0,7.3,-1
5.056,7.5,6.8,8.1,3.0,3.3,-1
7.222,7.5,0.0,6.7,3.0,3.8,-1
6.778,7.5,10.0,8.5,3.0,3.6,-2
7.389,7.5,10.0,7.8,3.0,2.5,-1
7.722,7.5,7.5,8.0,3.0,4.8,-1
8.444,7.5,8.0,7.9,3.0,7.8,0
7.556,7.5,8.5,9.7,3.0,3.3,-1
7.111,5.0,5.8,8.4,3.0,5.5,-1
6.722,7.5,9.5,6.7,3.0,4.1,-1
7.833,5.0,9.0,9.6,3.0,5.7,0
7.5,7.5,8.0,9.7,3.0,6.3,-1
8.056,5.0,3.5,8.5,3.0,6.3,-1
7.056,7.5,9.0,7.0,3.0,2.0,-1
5.889,7.5,8.0,6.1,3.0,4.3,-1
6.0,7.5,9.5,9.1,3.0,3.0,-1
7.667,7.5,8.5,9.2,3.0,5.8,-1
